Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Cluster
-0.1845,0.8045,-0.186,252.926,0.9268,-21.805,0
-0.421,11.675,-0.4659999999999999,490.488,141.588,-156.828,0
-0.1413333333333333,0.2016666666666666,-0.1283333333333333,222.806,9.707,-22.305,0
-0.369,10.795,-0.3279999999999999,771.216,289.878,-46.708,0
-0.1669999999999999,0.579,-0.3295,188.904,-0.6342000000000001,-0.0243999999999999,0
-0.3665,0.8555,-0.4185,206.584,-192.074,-107.928,0
-0.3,0.6803333333333333,-0.3146666666666666,249.512,-2.195,-135.244,0
-0.1416666666666666,0.6636666666666667,-0.0923333333333333,420.368,-185.244,-213.536,0
-0.157,0.6835,-0.0295,156.708,-88.902,159.268,0
-0.0885,0.6465,-0.0865,249.024,-10.683,-93.292,0
-0.0915,0.7625,-0.0705,132.804,-89.634,-47.072,0
-0.1266666666666666,0.7086666666666667,-0.1036666666666666,160.856,-80.854,-34.024,0
0.0705,0.424,0.4425,300.366,76.342,-0.5488,0
0.1335,0.72,0.839,261.586,70.364,63.172,0
0.1403333333333333,0.6936666666666667,0.7566666666666667,205.242,100.366,70.244,0
0.1495,0.734,0.7555000000000001,232.072,0.5609999999999999,32.442,0
-0.218,0.644,0.3235,202.926,-11.586,66.098,0
-0.2863333333333333,0.8836666666666666,0.504,231.584,47.804,27.318,0
-0.2896666666666667,0.9896666666666668,0.7626666666666667,177.804,0.2316,-0.9634,0
-0.1676666666666666,0.69,0.437,238.534,4.305,70.852,0
-0.2385,0.7625,0.6200000000000001,359.392,92.318,68.658,0
-0.1656666666666666,0.5563333333333333,0.3143333333333333,359.144,51.704,40.854,0
0.1776666666666666,0.711,0.8566666666666666,195.122,-0.2684,-0.829,0
0.1635,0.752,0.763,292.314,103.536,27.926,0
0.1406666666666666,0.7193333333333333,0.8256666666666667,353.294,39.268,26.096,0
0.154,0.8140000000000001,0.9655,158.172,-25.124,0.183,0
0.0839999999999999,0.5315,0.363,269.512,0.6708000000000001,-4.439,0
0.113,0.782,0.7765,228.172,-0.4268,45.976,0
0.163,0.767,0.7943333333333333,207.316,0.2073999999999999,-0.6097999999999999,0
0.1149999999999999,0.7615000000000001,0.728,314.514,0.9878,10.368,0
0.0606666666666666,0.529,0.409,300.488,10.122,-24.634,0
0.0834999999999999,0.8065,0.714,287.562,-0.2073999999999999,6.122,0
0.1143333333333333,0.7953333333333333,0.723,266.462,35.244,8.122,0
0.093,0.7696666666666667,0.6866666666666666,222.928,0.8413999999999999,10.256,0
0.1045,0.733,0.708,355.366,-72.682,0.9878,0
0.1076666666666666,0.5830000000000001,0.5813333333333334,412.438,-30.732,0.7682,0
0.152,0.6475,0.861,376.342,-38.658,47.196,0
0.165,0.694,0.8085,445.974,-47.194,2.561,0
0.101,0.5755,0.4895,258.048,44.388,-0.5487999999999997,0
0.128,0.8875,0.573,167.316,-48.536,-0.0244000000000002,0
0.0936666666666666,0.63,0.3816666666666666,175.244,-27.806,-63.294,0
0.102,0.685,0.5045,354.878,116.462,-0.5486000000000002,0
0.1363333333333333,0.719,0.7583333333333333,161.708,-50.244,50.976,0
0.1495,0.7805,0.725,214.022,5.756,85.488,0
0.0959999999999999,0.73,0.379,306.098,-28.658,-0.6219999999999999,0
0.0153333333333333,-0.6886666666666666,0.076,613.414,-0.3656,68.292,0
0.02,-0.788,0.011,633.292,-61.218,42.804,0
0.042,-0.6406666666666666,0.2273333333333333,376.342,30.122,56.096,0
0.0345,-0.784,0.062,596.952,-49.878,2.561,0
0.0403333333333333,-0.646,0.2353333333333333,364.998,8.061,90.734,0
